size;num_tests;p;c
1;100;0.0;1.0
1;100;0.01;1.0
1;100;0.02;1.0
1;100;0.03;1.0
1;100;0.04;1.0
1;100;0.05;1.0
1;100;0.06;1.0
1;100;0.07;1.0
1;100;0.08;1.0
1;100;0.09;1.0
1;100;0.1;1.0
1;100;0.11;1.0
1;100;0.12;1.0
1;100;0.13;1.0
1;100;0.14;1.0
1;100;0.15;1.0
1;100;0.16;1.0
1;100;0.17;1.0
1;100;0.18;1.0
1;100;0.19;1.0
1;100;0.2;1.0
1;100;0.21;1.0
1;100;0.22;1.0
1;100;0.23;1.0
1;100;0.24;1.0
1;100;0.25;1.0
1;100;0.26;1.0
1;100;0.27;1.0
1;100;0.28;1.0
1;100;0.29;1.0
1;100;0.3;1.0
1;100;0.31;1.0
1;100;0.32;1.0
1;100;0.33;1.0
1;100;0.34;1.0
1;100;0.35;1.0
1;100;0.36;1.0
1;100;0.37;1.0
1;100;0.38;1.0
1;100;0.39;1.0
1;100;0.4;1.0
1;100;0.41;1.0
1;100;0.42;1.0
1;100;0.43;1.0
1;100;0.44;1.0
1;100;0.45;1.0
1;100;0.46;1.0
1;100;0.47;1.0
1;100;0.48;1.0
1;100;0.49;1.0
1;100;0.5;1.0
1;100;0.51;1.0
1;100;0.52;1.0
1;100;0.53;1.0
1;100;0.54;1.0
1;100;0.55;1.0
1;100;0.56;1.0
1;100;0.57;1.0
1;100;0.58;1.0
1;100;0.59;1.0
1;100;0.6;1.0
1;100;0.61;1.0
1;100;0.62;1.0
1;100;0.63;1.0
1;100;0.64;1.0
1;100;0.65;1.0
1;100;0.66;1.0
1;100;0.67;1.0
1;100;0.68;1.0
1;100;0.69;1.0
1;100;0.7;1.0
1;100;0.71;1.0
1;100;0.72;1.0
1;100;0.73;1.0
1;100;0.74;1.0
1;100;0.75;1.0
1;100;0.76;1.0
1;100;0.77;1.0
1;100;0.78;1.0
1;100;0.79;1.0
1;100;0.8;1.0
1;100;0.81;1.0
1;100;0.82;1.0
1;100;0.83;1.0
1;100;0.84;1.0
1;100;0.85;1.0
1;100;0.86;1.0
1;100;0.87;1.0
1;100;0.88;1.0
1;100;0.89;1.0
1;100;0.9;1.0
1;100;0.91;1.0
1;100;0.92;1.0
1;100;0.93;1.0
1;100;0.94;1.0
1;100;0.95;1.0
1;100;0.96;1.0
1;100;0.97;1.0
1;100;0.98;1.0
1;100;0.99;1.0
1;100;1.0;1.0
2;100;0.0;1.0
2;100;0.01;0.99
2;100;0.02;1.0
2;100;0.03;1.0
2;100;0.04;0.99
2;100;0.05;1.0
2;100;0.06;1.0
2;100;0.07;0.98
2;100;0.08;1.0
2;100;0.09;0.99
2;100;0.1;0.99
2;100;0.11;0.97
2;100;0.12;0.97
2;100;0.13;0.98
2;100;0.14;0.95
2;100;0.15;0.99
2;100;0.16;0.96
2;100;0.17;0.98
2;100;0.18;0.95
2;100;0.19;0.9
2;100;0.2;0.97
2;100;0.21;0.96
2;100;0.22;0.97
2;100;0.23;0.95
2;100;0.24;0.96
2;100;0.25;0.95
2;100;0.26;0.9
2;100;0.27;0.93
2;100;0.28;0.88
2;100;0.29;0.92
2;100;0.3;0.92
2;100;0.31;0.92
2;100;0.32;0.95
2;100;0.33;0.92
2;100;0.34;0.9
2;100;0.35;0.91
2;100;0.36;0.94
2;100;0.37;0.83
2;100;0.38;0.91
2;100;0.39;0.88
2;100;0.4;0.85
2;100;0.41;0.89
2;100;0.42;0.81
2;100;0.43;0.85
2;100;0.44;0.9
2;100;0.45;0.88
2;100;0.46;0.84
2;100;0.47;0.85
2;100;0.48;0.89
2;100;0.49;0.88
2;100;0.5;0.84
2;100;0.51;0.89
2;100;0.52;0.85
2;100;0.53;0.85
2;100;0.54;0.88
2;100;0.55;0.87
2;100;0.56;0.87
2;100;0.57;0.9
2;100;0.58;0.88
2;100;0.59;0.91
2;100;0.6;0.89
2;100;0.61;0.92
2;100;0.62;0.91
2;100;0.63;0.9
2;100;0.64;0.9
2;100;0.65;0.91
2;100;0.66;0.9
2;100;0.67;0.93
2;100;0.68;0.88
2;100;0.69;0.89
2;100;0.7;0.96
2;100;0.71;0.94
2;100;0.72;0.95
2;100;0.73;0.92
2;100;0.74;0.94
2;100;0.75;0.93
2;100;0.76;0.96
2;100;0.77;0.93
2;100;0.78;0.95
2;100;0.79;0.97
2;100;0.8;0.92
2;100;0.81;0.95
2;100;0.82;0.92
2;100;0.83;0.98
2;100;0.84;0.93
2;100;0.85;0.96
2;100;0.86;0.98
2;100;0.87;0.98
2;100;0.88;0.97
2;100;0.89;0.98
2;100;0.9;1.0
2;100;0.91;0.99
2;100;0.92;0.98
2;100;0.93;0.99
2;100;0.94;1.0
2;100;0.95;0.99
2;100;0.96;1.0
2;100;0.97;1.0
2;100;0.98;1.0
2;100;0.99;1.0
2;100;1.0;1.0
3;100;0.0;1.0
3;100;0.01;1.0
3;100;0.02;1.0
3;100;0.03;0.9955556
3;100;0.04;1.0
3;100;0.05;0.98666674
3;100;0.06;0.9733334
3;100;0.07;0.96888894
3;100;0.08;0.97777784
3;100;0.09;0.9455556
3;100;0.1;0.94222236
3;100;0.11;0.9366668
3;100;0.12;0.9244447
3;100;0.13;0.92444456
3;100;0.14;0.9466668
3;100;0.15;0.88777804
3;100;0.16;0.9155557
3;100;0.17;0.8777781
3;100;0.18;0.9022224
3;100;0.19;0.8733337
3;100;0.2;0.8733336
3;100;0.21;0.87444466
3;100;0.22;0.88333356
3;100;0.23;0.88333356
3;100;0.24;0.88888913
3;100;0.25;0.847778
3;100;0.26;0.8477781
3;100;0.27;0.86666685
3;100;0.28;0.8866669
3;100;0.29;0.816667
3;100;0.3;0.8433336
3;100;0.31;0.8733336
3;100;0.32;0.82666695
3;100;0.33;0.87222236
3;100;0.34;0.8144448
3;100;0.35;0.8488892
3;100;0.36;0.8366669
3;100;0.37;0.8655559
3;100;0.38;0.8588891
3;100;0.39;0.8822224
3;100;0.4;0.85111135
3;100;0.41;0.8700003
3;100;0.42;0.82777816
3;100;0.43;0.8388892
3;100;0.44;0.8488893
3;100;0.45;0.8222225
3;100;0.46;0.867778
3;100;0.47;0.8466669
3;100;0.48;0.8833337
3;100;0.49;0.87888914
3;100;0.5;0.86777794
3;100;0.51;0.89777803
3;100;0.52;0.88333356
3;100;0.53;0.85888916
3;100;0.54;0.93222237
3;100;0.55;0.9233334
3;100;0.56;0.92000014
3;100;0.57;0.8966669
3;100;0.58;0.9322224
3;100;0.59;0.8744446
